sample_id,timepoint,crop,ID,plot,mgmttype,depth_upper,depth_lower,doc_mgkg,gm_fraction,microbial_biomass_c_mgkg,ammonium_mgkg,nitrate_mgkg,ph,percentN,percentC,calcium_ppm,magnesium_ppm,potentially_mineralizable_c_mgkg,poxc_mgkg,protein_gkg,phosphorus_ppm,sulfur_ppm,cu_ppm,om_percent,suva,sand_percent,silt_percent,clay_percent,bulkdensity
31,TP1,T,31,6_4,OMT,0,15,20.84431113,0.131798138,91.73284427,1.31063895,0.501819449,7.17,0.001623713,0.013636706,2613,1839,34.8,456.6,2465.9,106,11,8.4,2.7,,24.86134,58.34,16.815,1.29
32,TP1,T,32,6_4,OMT,15,60,7.297069845,0.165087957,49.96434593,0.856268127,1.177673079,7.27,0.001029343,0.009454658,2613,2052,10.3,341.9,1496.7,52,10,7.6,2.2,,21.272864,60.1,18.61875,1.445
33,TP1,T,33,6_4,OMT,60,100,2.350399341,0.174526009,18.43385048,0.163058371,1.095604072,7.16,0.000801138,0.007107344,2285,2247,4,284.5,1148,9,6,6.5,2.8,,22.4505,58.29,19.2432,1.59
34,TP1,C,34,6_5,OMT,0,15,28.93574449,0.117304896,88.08710075,1.280808452,2.71794562,6.92,0.001635662,0.014096115,2789,1991,39.6,430.5,2158.5,115,16,8.8,2.7,,25.6053,57.81,16.5863,1.49
35,TP1,C,35,6_5,OMT,15,60,6.974996302,0.157281553,40.22508745,0.721751085,3.311909421,7.22,0.000966668,0.00858675,2354,2085,10.1,284.5,1240.5,31,7,7.1,2.6,,23.48735,59.14,17.357952,1.47
36,TP1,C,36,6_5,OMT,60,100,10.42103108,0.163904236,NA,1.248162552,0.954664965,7.46,0.000749043,0.006049755,2214,2526,2.7,206.3,1003,3,3,6.3,2.3,,20.0916,60.49,19.427,1.7
37,TP1,T,37,6_7,LMT,0,15,12.22235633,0.114039291,101.5593868,0.673252935,0.345640826,7.27,0.001137555,0.010341101,2373,2291,24.8,367.9,1688,33,5,6.3,3,,20.1935,61.55,18.2439,1.22
38,TP1,T,38,6_7,LMT,15,60,3.333767316,0.157845868,46.16145214,0.786235154,2.785119656,7.3,0.000809289,0.007410243,2326,2393,9.5,300.2,1302.2,9,7,6.7,2.3,,16.420876,64.205,19.36655,1.385
39,TP1,T,39,6_7,LMT,60,100,0.552923831,0.165188987,23.15410746,0.810339425,0.787467387,7.27,0.000645185,0.005465772,2152,2624,4.1,201.1,1113,4,26,6.2,1.9,,16.0126,61.75,22.2411,1.64
40,TP1,T,40,6_8,OMT,0,15,27.29446365,0.124821343,158.6033501,0.921765544,0.535538048,7.05,0.001800252,0.015497375,2662,1898,30,513.9,2461.4,116,14,8.9,3.8,,18.8973,62.86,18.2432,1.08
41,TP1,T,41,6_8,OMT,15,60,8.35143662,0.166666667,34.7696241,1.19802661,2.352360763,7.16,0.001060963,0.009275195,2254,1973,4.7,310.6,1342.7,36,10,6.8,3,,16.115825,65.16,18.72535,1.33
42,TP1,T,42,6_8,OMT,60,100,2.365281632,0.182688306,19.36227649,0.787569251,0.736805238,7.73,0.000759198,0.006787754,2141,2715,4.7,253.2,949.3,8,5,7.2,2.5,,10.29165,67.42,22.2669,1.63
43,TP1,C,43,6_9,LMT,0,15,11.99793527,0.116027532,89.02577857,0.917561837,0.841490122,7.06,0.001221309,0.011165391,2018,1934,28.3,425.3,1589.4,30,7,5.5,3.1,,24.1271,58.31,17.5973,1.2
44,TP1,C,44,6_9,LMT,15,60,3.569226487,0.162642369,36.85920787,1.182532486,4.761609757,7.21,0.000906612,0.008436492,2067,2099,4.4,336.7,1226.2,8,8,6.3,2.4,,17.7772,63.305,18.8976,1.3
45,TP1,C,45,6_9,LMT,60,100,0.833121534,0.166739415,23.5490197,0.514058719,1.120018253,7.29,0.000736385,0.006585824,1966,2604,3.2,227.2,1040.5,3,5,6.1,2.9,,12.2265,65.47,22.3144,1.67
46,TP1,C,46,7_8,CMT,0,15,9.150979149,0.152233364,76.78632304,0.480057705,4.435160268,7.17,0.001043455,0.009620851,2126,2073,17.8,414.9,1558.3,27,22,6.5,2.5,,20.3971,61.14,18.4541,1.19
47,TP1,C,47,7_8,CMT,15,60,3.012009944,0.171996543,30.47455696,0.586127922,4.084085104,7.14,0.000802164,0.007749622,2069,2135,7.6,326.2,1255,9,6,5.9,2.3,,17.28325,63.645,19.11085,1.365
48,TP1,C,48,7_8,CMT,60,100,2.309833069,0.160971223,15.10734269,0.542382185,1.006964227,7.58,0.000676893,0.006260885,2245,2943,4.5,242.8,1095.6,4,1,7.5,2.1,,15.0957,63.56,21.3283,1.65
49,TP1,C,49,8_8,OMT,0,15,28.55538544,0.114383898,95.23276547,1.115854077,0.421973569,7.15,0.001568511,0.012856619,2532,1742,35.2,482.6,2046.6,117,19,8.3,3.1,,31.495,53.64,14.8571,1.17
50,TP1,C,50,8_8,OMT,15,60,6.362637234,0.158423493,37.35629275,1.147212518,1.640546231,7.18,0.000898199,0.008551992,2387,1939,11.4,352.3,1255,27,15,6.7,2.5,,25.73745,57.685,16.6129,1.355
51,TP1,C,51,8_8,OMT,60,100,2.884930936,0.16550765,22.77797626,0.699052272,0.780682257,7.31,0.000715051,0.006606323,2339,2473,6.2,258.5,1006.4,8,5,6.5,2.5,,24.4279,56.12,19.4643,1.58
52,TP1,T,52,8_9,CMT,0,15,8.029360234,0.136714976,60.18032012,2.332882223,2.520095223,7.24,0.000982905,0.009162457,1911,1732,8.8,367.9,1519.7,35,5,4.8,2,,33.19237,51.25,15.5406,1.33
53,TP1,T,53,8_9,CMT,15,60,4.828432819,0.16107078,32.56771836,0.849660002,2.761799074,7.37,0.000839323,0.007678668,2023,1884,6.3,347.1,1372.3,19,5,5.5,2.7,,28.4806855,54.915,16.61225,1.47
54,TP1,T,54,8_9,CMT,60,100,0.197280441,0.165296804,23.72743342,0.520291303,2.165915354,7.18,0.000761335,0.006857402,2372,2482,6.4,284.5,1179.8,6,4,6.2,2.5,,19.189,60.34,20.438,1.58
