,plot,mgmttype,year,cash_crop_planted,tom_C_kgha,corn_C_kgha,wcc_c_kgha,wcc_n_kgha,wheat_c_content_kg_ha,sudangrass_c_kg_ha,compost_applied_tons,Total C_compost,Total K_compost,Total N_compost,Total P_compost,Total S_compost,compost_c_kg_ha,compost_n_kg_ha,compost_phosphorus_kg_ha,compost_s_kg_ha,compost_k_kg_ha,fert_N_kg_ha,fert_P_kg_ha,fert_S_kg_ha,fert_K_kg_ha
77,2_3,OMT,1998,Tomato,2288.2068,0,1627.68,142.28,0,0,4.7,18.866,1.8821,1.965,1.34,4788.33,1987.719873,207.0322035,141.182266,50.449797,198.2978678,0,0,0,0
78,2_4,LMT,1998,Maize,0,4639.366667,1547.67,136.07,0,0,0,0,0,0,0,0,0,0,0,0,0,158.3567143,64.16305825,167.6414994,46.2350625
79,4_4,LMT,1998,Maize,0,4639.366667,1583.6,156.69,0,0,0,0,0,0,0,0,0,0,0,0,0,158.3567143,64.16305825,167.6414994,46.2350625
80,4_5,CMT,1998,Tomato,1938.573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.3422777,46.2350625,148.4487366,46.2350625
81,5_5,CMT,1998,Maize,0,4472.195013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.6607305,46.2350625,18.80225875,46.2350625
82,6_3,LMT,1998,Tomato,2039.6376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.3422777,46.2350625,148.4487366,46.2350625
83,6_4,OMT,1998,Tomato,2106.8856,0,1382.05,149.47,0,0,4.7,18.866,1.8821,1.965,1.34,4788.33,1987.719873,207.0322035,141.182266,50.449797,198.2978678,0,0,0,0
84,6_5,OMT,1998,Maize,0,4547.947375,1524.77,135.15,0,0,4.7,18.866,1.8821,1.965,1.34,4788.33,1987.719873,207.0322035,141.182266,50.449797,198.2978678,0,0,0,0
85,6_7,LMT,1998,Tomato,2058.4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.1072152,0,129.6464778,0
86,6_8,OMT,1998,Tomato,1619.6544,0,1488.8,113.46,0,0,4.7,18.866,1.8821,1.965,1.34,4788.33,1987.719873,207.0322035,141.182266,50.449797,198.2978678,0,0,0,0
87,6_9,LMT,1998,Maize,0,5206.65,1755.82,171.6,0,0,0,0,0,0,0,0,0,0,0,0,0,158.3567143,64.16305825,167.6414994,46.2350625
88,7_8,CMT,1998,Maize,0,4649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.6607305,46.2350625,18.80225875,46.2350625
89,8_8,OMT,1998,Maize,0,5137.132415,1316.23,105.12,0,0,4.7,18.866,1.8821,1.965,1.34,4788.33,1987.719873,207.0322035,141.182266,50.449797,198.2978678,0,0,0,0
90,8_9,CMT,1998,Tomato,2184.8988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.3422777,46.2350625,148.4487366,46.2350625
91,1_1,LMT,1999,Maize,0,4622.516667,1629.03,154.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.972915,0,0
92,1_2,OMT,1999,Tomato,2116.8972,0,1553.263,134.19,0,0,4.7,18.866,1.8821,1.965,1.34,4788.33,1987.719873,207.0322035,141.182266,50.449797,198.2978678,0,0,0,0
93,1_3,CMT,1999,Maize,0,5687.038451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.2763955,158.2079775,18.80225875,46.2350625
94,1_4,CMT,1999,Tomato,1095.0268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.1567344,0,128.5570116,0
95,2_3,OMT,1999,Maize,0,4500.251444,1553.263,134.19,0,0,4.7,18.866,1.8821,1.965,1.34,4788.33,1987.719873,207.0322035,141.182266,50.449797,198.2978678,0,0,0,0
96,2_4,LMT,1999,Tomato,1481.1654,0,1629.03,154.79,0,0,0,0,0,0,0,0,0,0,0,0,0,112.1567344,0,128.5570116,0
97,4_4,LMT,1999,Tomato,2054.7215,0,1629.03,154.79,0,0,0,0,0,0,0,0,0,0,0,0,0,112.1567344,0,128.5570116,0
98,4_5,CMT,1999,Maize,0,4977.210761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.2763955,158.2079775,18.80225875,46.2350625
99,5_5,CMT,1999,Tomato,1711.7618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.1567344,0,128.5570116,0
100,6_3,LMT,1999,Maize,0,4198.458333,1629.03,154.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.972915,0,0
101,6_4,OMT,1999,Maize,0,4480.611942,1553.263,134.19,0,0,4.7,18.866,1.8821,1.965,1.34,4788.33,1987.719873,207.0322035,141.182266,50.449797,198.2978678,0,0,0,0
102,6_5,OMT,1999,Tomato,2120.976,0,1553.263,134.19,0,0,4.7,18.866,1.8821,1.965,1.34,4788.33,1987.719873,207.0322035,141.182266,50.449797,198.2978678,0,0,0,0
103,6_7,LMT,1999,Maize,0,3844.608333,1629.03,154.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.972915,0,0
104,6_8,OMT,1999,Maize,0,4438.527297,1553.263,134.19,0,0,4.7,18.866,1.8821,1.965,1.34,4788.33,1987.719873,207.0322035,141.182266,50.449797,198.2978678,0,0,0,0
105,6_9,LMT,1999,Tomato,1820.7371,0,1629.03,154.79,0,0,0,0,0,0,0,0,0,0,0,0,0,112.1567344,0,128.5570116,0
106,7_8,CMT,1999,Tomato,1466.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.1567344,0,128.5570116,0
107,8_8,OMT,1999,Tomato,2637.8712,0,1553.263,134.19,0,0,4.7,18.866,1.8821,1.965,1.34,4788.33,1987.719873,207.0322035,141.182266,50.449797,198.2978678,0,0,0,0
108,8_9,CMT,1999,Maize,0,4954.765617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.2763955,158.2079775,18.80225875,46.2350625
109,1_1,LMT,2000,Tomato,305.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.3917969,46.2350625,147.3592704,46.2350625
110,1_2,OMT,2000,Maize,0,4978.221785,1694.16,118.76,0,0,4,18.866,1.8821,1.965,1.34,4788.33,1691.676488,176.19762,120.15512,42.93599744,168.7641428,0,0,0,0
111,1_3,CMT,2000,Tomato,14158.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.3917969,46.2350625,147.3592704,46.2350625
112,1_4,CMT,2000,Maize,0,5894.88189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.7064155,46.2350625,18.80225875,46.2350625
113,2_3,OMT,2000,Tomato,2516.85,0,1578.52,163.04,0,0,4,18.866,1.8821,1.965,1.34,4788.33,1691.676488,176.19762,120.15512,42.93599744,168.7641428,0,0,0,0
114,2_4,LMT,2000,Maize,0,3987.401575,1615.97,114.93,0,0,0,0,0,0,0,0,0,0,0,0,0,158.3567143,64.16305825,167.6414994,46.2350625
115,4_4,LMT,2000,Maize,0,5884.186352,1786.97,150.39,0,0,0,0,0,0,0,0,0,0,0,0,0,158.3567143,64.16305825,167.6414994,46.2350625
116,4_5,CMT,2000,Tomato,3205.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.3917969,46.2350625,147.3592704,46.2350625
117,5_5,CMT,2000,Maize,0,6212.178478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.7064155,46.2350625,18.80225875,46.2350625
118,6_3,LMT,2000,Tomato,3847.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.3917969,46.2350625,147.3592704,46.2350625
119,6_4,OMT,2000,Tomato,2911.26,0,1103.6,94.44,0,0,4,18.866,1.8821,1.965,1.34,4788.33,1691.676488,176.19762,120.15512,42.93599744,168.7641428,0,0,0,0
120,6_5,OMT,2000,Maize,0,5836.666667,1162.89,85.07,0,0,4,18.866,1.8821,1.965,1.34,4788.33,1691.676488,176.19762,120.15512,42.93599744,168.7641428,0,0,0,0
121,6_7,LMT,2000,Tomato,2920.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.3917969,46.2350625,147.3592704,46.2350625
122,6_8,OMT,2000,Tomato,3040.371,0,1621.59,129.42,0,0,4,18.866,1.8821,1.965,1.34,4788.33,1691.676488,176.19762,120.15512,42.93599744,168.7641428,0,0,0,0
123,6_9,LMT,2000,Maize,0,5848.169291,1790.28,147.86,0,0,0,0,0,0,0,0,0,0,0,0,0,158.3567143,64.16305825,167.6414994,46.2350625
124,7_8,CMT,2000,Maize,0,6069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.7064155,46.2350625,18.80225875,46.2350625
125,8_8,OMT,2000,Maize,0,6331.738845,1572.18,123.07,0,0,4,18.866,1.8821,1.965,1.34,4788.33,1691.676488,176.19762,120.15512,42.93599744,168.7641428,0,0,0,0
126,8_9,CMT,2000,Tomato,2395.736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.3917969,46.2350625,147.3592704,46.2350625
127,1_1,LMT,2001,Maize,0,5363.916667,1471.76,151.53,0,0,0,0,0,0,0,0,0,0,0,0,0,133.9163559,50.550335,74.1218105,50.550335
128,1_2,OMT,2001,Tomato,2728,0,1581.74,132.77,0,0,4,15.3,1.81,1.98,1.4,4480,1371.9204,177.54264,125.5352,40.171264,162.29908,0,0,0,0
129,1_3,CMT,2001,Maize,0,6152.775197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.6607305,46.2350625,18.80225875,46.2350625
130,1_4,CMT,2001,Tomato,2387.0406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.3917969,46.2350625,147.3592704,46.2350625
131,2_3,OMT,2001,Maize,0,6228.527559,1861.58,110.35,0,0,4,15.3,1.81,1.98,1.4,4480,1371.9204,177.54264,125.5352,40.171264,162.29908,0,0,0,0
