sample_id,timepoint,crop,plot,mgmttype,depth_upper,depth_lower,depth_code,mic_c,total_biomass,011: 12:0,019: 14:0 iso,026: 14:0,028: 15:1 iso w6c,029: 15:4 w3c,030: 15:1 anteiso w9c,031: 15:0 iso,033: 15:0 anteiso,041: 15:0,045: 16:0 iso,047: 16:0 anteiso,048: 16:1 w9c,050: 16:1 w7c,052: 16:1 w5c,054: 16:1 w3c,055: 16:0,056: 17:1 iso w10c,057: 16:0 10-methyl,058: 17:1 iso w9c,059: 17:1 anteiso w9c,061: 17:0 iso,062: 17:0 anteiso,064: 17:1 w8c,067: 17:0 cyclo w7c,071: 17:0,072: 17:1 w7c 10-methyl,074: 17:0 10-methyl,075: 18:3 w6c,076: 18:0 iso,078: 18:2 w6c,079: 18:1 w9c,081: 18:1 w7c,083: 18:1 w5c,086: 18:1 w7c 10-methyl,087: 17:0 iso 3OH,088: 18:0 10-methyl,090: 19:3 w6c,095: 19:1 w8c,099: 19:0 cyclo w7c,102: 20:4 w6c,103: 20:5 w3c,104: 20:3 w6c,106: 20:2 w6c,107: 20:1 w9c,112:20:00,113: 20:0 10-methyl,121: 21:1 w3c,123: 22:5 w6c,124: 22:6 w3c,135:22:00,142:23:00,149:24:00,Grampos_Gramneg
141,TP4,C,1_2,OMT,60,100,40,51.67959702,11.76,,,,,,,0.66,0.43,,0.44,,,0.7,,,3.87,,1.84,0.31,,0.32,0.25,,,,0.88,,,,,0.53,0.4,,,,,,,0.58,,,,,,,0.53,,,,,,,3.38
142,TP4,T,1_3,CMT,0,15,15,220.113563,50.64,,0.32,0.45,0.47,,,3.76,2.14,0.31,1.21,,1.05,5.32,1.95,,8.18,,4.99,0.55,0.33,0.93,0.97,0.54,1.65,0.3,0.61,0.27,,0.3,1.1,3.27,4.5,0.55,0.34,,0.87,,,1.78,0.4,,,,,0.34,0.5,,,,0.19,,0.21,1.207
143,TP4,T,1_3,CMT,15,60,45,70.49657366,22.01,,,0.22,,,,1.63,1.08,,0.61,,0.36,1.22,0.48,,5.82,,3.18,0.57,,0.5,0.49,,0.47,,0.76,,,,,1.08,1,0.28,,,0.48,,,1.21,,,,,,0.22,0.34,,,,,,,2.117
144,TP4,T,1_3,CMT,60,100,40,41.96649622,14.47,0.88,,,,,,0.73,0.5,,0.47,,,0.58,,,4.88,,1.97,0.36,,0.36,0.27,,,,0.87,,,,,0.45,0.27,,,,0.4,,,0.61,,,,,,,0.85,,,,,,,4.68
145,TP4,C,1_4,CMT,0,15,15,186.1160217,53.73,,0.4,0.42,0.54,,,3.85,2.13,0.33,1.27,,1.01,4.9,2.19,,9.83,,4.9,0.6,0.29,0.9,0.94,0.5,1.61,0.31,0.64,0.22,,,2.64,3.52,4.72,0.75,0.41,,0.86,,,1.94,0.34,,,,,0.39,,,,,0.23,,0.19,1.162
146,TP4,C,1_4,CMT,15,60,45,77.56709595,20.86,0.69,,,,,,1.44,0.91,,0.61,,0.3,1.07,0.43,,5.66,,2.79,0.48,,0.49,0.45,,0.48,,0.81,,,,,0.95,0.93,0.25,,,0.5,,,1.04,,,,,,0.22,0.36,,,,,,,2.182
147,TP4,C,1_4,CMT,60,100,40,28.35328373,12.37,1.14,,,,,,0.54,0.38,,0.35,,,0.43,,,5.65,,1.45,0.4,,0.27,,,,,0.61,,,,,0.44,0.28,,,,,,,0.43,,,,,,,,,,,,,,3.513
148,TP4,T,2_3,OMT,0,15,15,412.1586415,96.73,0.78,0.7,0.73,1.09,0.25,0.27,6.71,3.87,0.58,2.32,,2,10.71,4.15,,13.14,,8.4,0.81,0.53,1.54,1.63,0.99,2.61,0.47,0.79,0.43,,0.83,4.25,6.9,10.33,1.46,0.63,0.24,1.1,,,3.26,,0.35,,,0.45,0.45,0.21,,0.23,,0.21,,0.34,1.002
149,TP4,T,2_3,OMT,15,60,45,104.7625301,41.74,,0.24,0.34,0.35,,,3.32,1.99,0.27,1.14,,0.89,3.17,1.39,,7.56,,5.17,0.5,0.22,0.85,0.89,0.25,1.11,0.21,0.89,0.2,,,1.26,2.49,2.83,0.51,,,0.88,,,2.06,0.29,,,,,0.28,,,,,,,0.18,1.539
150,TP4,T,2_3,OMT,60,100,40,31.08010918,12.91,,,,,,,0.68,0.49,,0.4,,,0.64,,,5.71,,1.59,0.36,,0.31,,,,,0.67,,,,,0.68,0.48,,,,,,,0.57,,,,,,,0.33,,,,,,,2.861
